OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_98	Fungi	Ascomycota	Sordariomycetes	Diaporthales	unidentified	unidentified	Diaporthales sp
OTU_99	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unidentified	Trichocomaceae sp
OTU_100	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina sp
OTU_101	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	?
OTU_102	Fungi	Ascomycota	Pezizomycetes	?	?	?	?
OTU_103	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_104	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_105	Fungi	Ascomycota	?	?	?	?	?
OTU_106	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus flavus
OTU_107	Fungi	Ascomycota	?	?	?	?	?
OTU_108	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	unidentified	Sordariaceae sp
OTU_109	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_110	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales sp
OTU_111	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	?
OTU_112	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_113	Fungi	Ascomycota	?	?	?	?	?
OTU_114	Fungi	Basidiomycota	?	?	?	?	?
OTU_115	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma guilliermondii
OTU_116	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_117	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	?	?
OTU_119	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita masasiensis
OTU_120	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_121	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina sp
OTU_122	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus terreus
OTU_123	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
OTU_124	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_125	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	Paraconiothyrium	Paraconiothyrium brasiliense
OTU_126	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	?	?
OTU_127	Fungi	Ascomycota	?	?	?	?	?
OTU_128	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella sp SYN 970
OTU_130	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	?	?	?
OTU_131	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi sp
OTU_132	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces flavus
OTU_134	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_135	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_136	Fungi	Ascomycota	?	?	?	?	?
OTU_137	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita subviscosa
OTU_138	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	?	?	?
OTU_139	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces flavus
OTU_140	Fungi	?	?	?	?	?	?
OTU_141	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_142	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_143	Fungi	Ascomycota	Sordariomycetes	Sordariales	?	?	?
OTU_144	Fungi	Ascomycota	Archaeorhizomycetes	?	?	?	?
OTU_145	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_146	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	unidentified	?
OTU_147	Fungi	?	?	?	?	?	?
OTU_148	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium pimiteouiense
OTU_149	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	unidentified	?
OTU_150	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_151	Fungi	?	?	?	?	?	?
OTU_152	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	?	?
OTU_153	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	?	?
OTU_154	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_155	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_156	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_157	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus pseudodeflectus
OTU_158	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_159	Fungi	?	?	?	?	?	?
OTU_160	Fungi	?	?	?	?	?	?
OTU_161	Fungi	Basidiomycota	?	?	?	?	?
OTU_162	Fungi	Ascomycota	?	?	?	?	?
